	id	title	year	genres	runtime	numvotes	rating	sub_id
2134	107144	Hot Shots! Part Deux	1993	['Action', 'Comedy']	86	77824	6.6	1951647547
2135	5022702	Hush	2016	['Horror', 'Thriller']	82	77819	6.6	1955172227
2136	382077	Hide and Seek	2005	['Drama', 'Horror', 'Mystery']	101	77751	5.9	1953371423
2137	289848	Analyze That	2002	['Comedy', 'Crime']	96	77749	5.9	1952287873
2138	173840	Final Fantasy: The Spirits Within	2001	['Animation', 'Action', 'Adventure']	106	77721	6.4	1951889419
2139	882977	Snitch	2013	['Action', 'Drama', 'Thriller']	112	77714	6.5	1953552246
2140	371606	Chicken Little	2005	['Animation', 'Adventure', 'Comedy']	81	77675	5.8	1951660347
2141	119137	Flubber	1997	['Comedy', 'Family', 'Sci-Fi']	93	77608	5.2	1952940999
2142	108394	Three Colors: Blue	1993	['Drama', 'Music', 'Mystery']	98	77588	8.0	1951628555
2143	2132285	The Bling Ring	2013	['Biography', 'Crime', 'Drama']	90	77482	5.6	1953706470
2144	821640	Ghosts of Girlfriends Past	2009	['Comedy', 'Fantasy', 'Romance']	100	77460	5.8	1952183666
2145	97493	Heathers	1988	['Comedy', 'Crime']	103	77361	7.3	1951846515
2146	3072482	Hardcore Henry	2015	['Action', 'Adventure', 'Sci-Fi']	96	77331	6.7	1955223059
2147	1293847	xXx: Return of Xander Cage	2017	['Action', 'Adventure', 'Thriller']	107	77305	5.2	1955491992
2148	101761	The Doors	1991	['Biography', 'Drama', 'Music']	140	77287	7.2	1951646103
2149	105698	Universal Soldier	1992	['Action', 'Sci-Fi']	102	77239	6.0	1951866676
2150	1172049	Demolition	2015	['Comedy', 'Drama']	101	77238	7.0	1955243750
2151	1020072	Selma	2014	['Biography', 'Drama', 'History']	128	77220	7.5	1954707928
2152	151738	Never Been Kissed	1999	['Comedy', 'Drama', 'Romance']	107	77211	6.0	1953000729
2153	453562	42	2013	['Biography', 'Drama', 'Sport']	128	77200	7.5	1953606200
2154	96061	Scrooged	1988	['Comedy', 'Drama', 'Fantasy']	101	77174	7.0	1952040042
2155	472181	The Smurfs	2011	['Animation', 'Adventure', 'Comedy']	103	77146	5.5	1952949445
2156	4016934	The Handmaiden	2016	['Drama', 'Romance', 'Thriller']	145	77113	8.1	1955358329
2157	1981128	Geostorm	2017	['Action', 'Sci-Fi', 'Thriller']	109	77096	5.3	1955747545
2158	879870	Eat Pray Love	2010	['Drama', 'Romance']	133	77066	5.8	1952608196
2159	450188	La Vie en Rose	2007	['Biography', 'Drama', 'Music']	140	77057	7.6	1951692058
2160	3322364	Concussion	2015	['Biography', 'Drama', 'Sport']	123	77025	7.1	1955124725
2161	274812	Secretary	2002	['Comedy', 'Drama', 'Romance']	107	76966	7.0	1951825192
2162	1297919	Blitz	2011	['Action', 'Crime', 'Thriller']	97	76929	6.2	1952900636
2163	1126590	Big Eyes	2014	['Biography', 'Crime', 'Drama']	106	76891	7.0	1954627384
2164	3949660	Teenage Mutant Ninja Turtles: Out of the Shadows	2016	['Action', 'Adventure', 'Comedy']	112	76681	6.0	1955309273
2165	116365	The Frighteners	1996	['Comedy', 'Fantasy', 'Horror']	110	76525	7.1	141143
2166	137363	Arlington Road	1999	['Crime', 'Drama', 'Thriller']	117	76505	7.2	1952919839
2167	82406	The Fox and the Hound	1981	['Animation', 'Adventure', 'Drama']	83	76439	7.3	1951838112
2168	3316948	American Ultra	2015	['Action', 'Comedy', 'Sci-Fi']	96	76386	6.1	1954958005
2169	370032	Ultraviolet	2006	['Action', 'Adventure', 'Sci-Fi']	88	76307	4.4	1951624072
2170	94862	Child's Play	1988	['Horror', 'Thriller']	87	76262	6.6	1952199144
2171	3850214	Dope	2015	['Comedy', 'Crime', 'Drama']	103	76241	7.2	1954901747
2172	105665	Twin Peaks: Fire Walk with Me	1992	['Drama', 'Horror', 'Mystery']	134	76197	7.2	1951934426
2173	98258	Say Anything...	1989	['Comedy', 'Drama', 'Romance']	100	76161	7.4	1951970532
2174	457513	Scoop	2006	['Comedy', 'Crime', 'Mystery']	96	75909	6.7	1951628180
2175	1023481	Step Up 2: The Streets	2008	['Drama', 'Music', 'Romance']	98	75812	6.3	1951888401
